,Title,Author,Media
175,"究極の美少女は可能世界に棲む (空想美少女読本--モニタ-画面で出会った,禁断の初恋女性100人)",石野 環,"別冊宝島 (349), 220-223, 1997-12"
176,"座談会 空想美少女をめぐる妄想座談会(1) (空想美少女読本--モニタ-画面で出会った,禁断の初恋女性100人)",,"別冊宝島 (349), 91-93, 1997-12"
177,"富野由悠季の女たち (空想美少女読本--モニタ-画面で出会った,禁断の初恋女性100人)",友沢 よしひろ,"別冊宝島 (349), 64-69, 1997-12"
178,"二人の聖母 メ-テルとクラリスはなぜ理想の女となったのか (空想美少女読本--モニタ-画面で出会った,禁断の初恋女性100人)",斎田 亨彦,"別冊宝島 (349), 39-44, 1997-12"
179,"紅一点!正統派ヒロイン (空想美少女読本--モニタ-画面で出会った,禁断の初恋女性100人)",,"別冊宝島 (349), 196-217, 1997-12"
180,"薄幸の運命(さだめ)の下に (空想美少女読本--モニタ-画面で出会った,禁断の初恋女性100人)",,"別冊宝島 (349), 178-193, 1997-12"
181,"キミが元気でいてくれるなら (空想美少女読本--モニタ-画面で出会った,禁断の初恋女性100人)",,"別冊宝島 (349), 152-174, 1997-12"
182,"自立するオトナの女 (空想美少女読本--モニタ-画面で出会った,禁断の初恋女性100人)",,"別冊宝島 (349), 132-147, 1997-12"
183,"ダ-ク系という魔力 (空想美少女読本--モニタ-画面で出会った,禁断の初恋女性100人)",,"別冊宝島 (349), 96-109, 1997-12"
184,"手のかかる美女 (空想美少女読本--モニタ-画面で出会った,禁断の初恋女性100人)",,"別冊宝島 (349), 74-90, 1997-12"
185,"おねえさまと呼ばせて (空想美少女読本--モニタ-画面で出会った,禁断の初恋女性100人)",,"別冊宝島 (349), 48-63, 1997-12"
186,"キミを守りたい! (空想美少女読本--モニタ-画面で出会った,禁断の初恋女性100人)",,"別冊宝島 (349), 22-38, 1997-12"
187,"空想美少女読本--モニタ-画面で出会った,禁断の初恋女性100人",,"別冊宝島 (349), 1-235, 1997-12"
188,「初恋ダイエットスリッパ」大当たり (特集 35歳からの自分探し),熊谷 由子,"婦人公論 82(13), 134-139, 1997-12"
189,志賀直哉と里見[トン]との絶交とその経緯(一):『母と子』及び『晩い初恋』の成立過程,大西 貢,"愛媛大学法文学部論集. 人文学科編 3, 1-41, 1997-08-28"
190,初恋の人に嫁ぐバツイチ花嫁 清原和博は「第2の広沢」になる,,"週刊現代 38(45), 54-56, 1996-11-30"
191,バ-ジン大統領の初恋--ホワイトハウス夫婦の一生-9-,ムルハ-ン 千栄子,"中央公論 111(12), 246-256, 1996-10"
192,本のある自伝(4)初恋,辻井 喬,"本 21(9), 4-9, 1996-09"
193,龍ちゃんの初恋人,遠山 美知,"日本病院会雑誌 = Journal of Japan Hospital Association 43(8), 1320, 1996-08-01"
194,"朱暁平著 杉本達夫訳, 縛られた村, 1994年, 260頁, 2,718円 / 池莉著 田畑佐和子訳, 初恋, 早稲田大学出版会, 1994年, 230頁, 2,524円",秋山 洋子,"中国研究月報 48(11), 53-54, 1994-11-25"
195,初恋の味忘れ難く-魅せられて38年 (最終講義),本間 守男,"神戸大学医学部神緑会学術誌 (10), 37-39, 1994-06"
196,ひと恋ひ歳時記-1-初恋,高橋 治,"俳句 43(2), p14-17, 1994-02"
197,ベケットの四六年の短編小説,斎藤 信平,"山梨英和短期大学紀要 26(0), 59-68, 1992"
198,<初恋>のかたち--三島由紀夫「潮騒」のプロットと語り手 (近代文学と「語り」<特集>) -- (近代文学作品と「語り」の位相),佐藤 秀明,"国文学解釈と鑑賞 56(4), p138-144, 1991-04"
199,戦争と初恋 : 「自分史」の魅力,"鈴木 敬司,Keiji Suzuki","中央学院大学教養論叢 = The Chuo-Gakuin University Review of Faculty of Liberal Arts 4(1), 171-180, 1991-03-31"
200,巨人と少年--黒沢明の女性論-2-<少年>の初恋,尾形 敏朗,"キネマ旬報 (1050), p143-147, 1991-01-15"
201,ゴッホ 初恋と黒衣の女と (ゴッホ--渦巻く絵画--没後100年<特集>),藤村 信,"ユリイカ 22(13), p68-88, 1990-12"
202,戦争と初恋--自分史の迫力,鈴木 敬二,"知識 (108), p218-225, 1990-11"
203,藤村の初恋,"藤沢 道郎,Michio Fujisawa","桃山学院大学人文科学研究 25(2), p107-123, 1990-01"
204,秦恒平「初恋」論(下),原 善,"作新学院女子短期大学紀要 12, 69-91, 1988-12"
205,三島由紀夫の世界-3-初恋,村松 剛,"新潮 85(10), p261-275, 1988-10"
206,"寺山修司論-9-映画 映画少年の形成あるいは,「初恋・地獄編」",高取 英,"詩学 43(10), p48-53, 1988-10"
207,秦恒平「初恋」論(上)(創立20周年記念号),原 善,"作新学院女子短期大学紀要 11, 85-105, 1987-11"
208,「野菊の墓」成立に関する比較文学試論--嵯峨の屋御室「初恋」を媒介としたロシア文学への志向,永塚 功,"語文 (68), p22-28, 1987-06"
209,「初恋」題詠歌考,佐藤 明浩,"詞林 (1), 11-25, 1987-03-25"
210,島崎藤村「初恋」 (詩--リズム・イメ-ジ・意味<特集>) -- (詩と表現--受容の系譜のなかで),三好 行雄,"国文学 解釈と教材の研究 32(3), p34-36, 1987-03"
211,柳がれいの味初恋の思い出(縁は異なもの-12-),"小柳 仁,桜井 洋子","中央公論 101(14), p234-237,図p140〜141, 1986-12"
212,リオの祭りで会った初恋の人,林 真理子,"文芸春秋 64(4), p326-331, 1986-04"
213,"アマゾン源流 文明と闘うインディオ一家の記録--トウチャン森に隠れろ-5-オルキ-ディア""色男""との初恋",関野 吉晴,"朝日ジャ-ナル 27(38), p61-65, 1985-09-20"
214,"「瀬降り物語」のロケ現場を訪ねて--中島貞夫監督,初恋の相手にめぐり逢う",高野 貴行,"キネマ旬報 (903), p80-84, 1985-02-01"
215,藤村詩考--「初恋」をめぐって,垣田 時也,"甲南女子大学研究紀要 (創立20周年記念号), p780-766, 1984"
216,詩の鑑賞の一方法としてのノ-ト作業--島崎藤村「初恋」の授業をめぐって,高見 よ志子,"金沢大学語学・文学研究 (10), p44-49, 1980-02"
217,賢治の初恋と「まことの恋」 : 『ガドルフの百合』を中心に,多田 幸正,"日本文学 29(11), 53-66, 1980"
218,"読書鼎談--黒井千次「五月巡歴」,高橋三千綱「彼の初恋」","阿部 昭,上田 三四二,和田 芳恵","文芸 16(5), p266-286, 1977-05"
219,大正3年の芥川竜之介--その初恋をめぐっての新事実 (芥川竜之介--新しい評価軸を求めて) -- (芥川・再検討への視点),森 啓祐,"国文学 解釈と教材の研究 22(6), p164-169, 1977-05"
220,"原点へのこだわり--黒井千次「五月巡歴」,大庭みな子「浦島草」,高橋三千綱「彼の初恋」,中村昌義「静かな日」,井伏鱒二「スガレ追ひ」(新著月評)",上田 三四二,"群像 32(5), p382-388, 1977-05"
221,初恋の文学,木村 毅,"文林 = Bunrin (9), 1-22, 1975-03-20"
222,オーウェルの初恋,奥山 康治,"英語青年 120(6), 20-21, 1974-09"
223,ディケンズ小伝-4-初恋の頃,藤村 公輝,"外国文学研究 (26), 63-78, 1973-03"
224,初恋の花紐--抒情の変幻形態,清水 映二,"早稲田文学 〔第7次〕 3(12), 32-43, 1971-12"
225,初恋の故郷なつかし,"大岡 昇平,水上 勉","潮 (142), 246-253, 1971-08"
226,初恋は遠し(東門居句手帖),永井 竜男,"潮 (137), 304-311, 1971-03"
227,"わがゲバラ伝-2-初恋,そしてアマゾンの旅……",三好 徹,"文芸春秋 48(6), 296-308, 1970-06"
228,孝標女の初恋の人は「雫に濁る人」か,稲賀 敬二,"国語と国文学 45(12), 9-19, 1968-12"
229,サイケデリックな世界--「ベトナムから遠く離れて」「白昼の幻想」「初恋・地獄篇」「燃えつきた地図」(時評=状況'68・映画),関根 弘,"新日本文学 23(7), 160-165, 1968-07"
230,青春の皮むき作業--初恋地獄篇,渡辺 淳,"映画評論 25(7), 64-67, 1968-07"
231,「母の初恋」をめぐる一つの推論,川嶋 至,"国語国文研究 (36), 75-83, 1967-02"
232,藤村「初恋」考,栂瀬 良平,"国語研究 (17), 30-34, 1966-07"
233,ホフマンの初恋(承前)--浪曼的心情の一解釈,吉田 六郎,"人文学報 (55), 16-35, 1966-05"
234,ホフマンの初恋(承前)--浪曼的心情の一解釈,吉田 六郎,"人文学報 (49), ????, 1965-07"
235,ホフマンの初恋--浪曼的心情の一解釈,吉田 六郎,"人文学報 (38), ????, 1964-03"
236,「ソヴィエト的人間」と「日本的人間」との接点--「イルクーツク物語」と「初恋」を中心に(座談会)-1-,木下 順二 [他],"悲劇喜劇 17(7), ????, 1963-06"
237,大衆性の所在点(対談劇評)--演劇座ほか「爆裂弾記」東京芸術座「忍びの者」民芸「初恋」,茨木 憲 [他],"悲劇喜劇 17(4), ????, 1963-03"
238,偽りの対立--民芸関西公演「初恋」,喜志 哲雄,"新劇 10(3), ????, 1963-02"
239,『初恋』について : 嵯峨の屋おむろノート(3),杉崎 俊夫,"智山学報 11(0), 85-98, 1963"
240,里見〔トン〕--「善心悪心」「晩い初恋」,村松 定孝,"國文學 : 解釈と教材の研究 7(3), 108-113, 1962-02"
241,芥川竜之介のいはゆる〔初恋〕--(未定稿断片),葛巻 義敏,"図書 (101), 12-15, 1958-02"
242,わが美神への初恋,平野 政吉,"文芸春秋 33(22), ????, 1955-12"
243,蘆花の初恋,田中 純,"小説新潮 9(7), 108-116, 1955-05"
244,初恋の女,芹沢 光治良,"小説新潮 9(3), 210-218, 1955-02"
245,北原白秋初恋の人,長谷 健,"人物往来 3(11), 48-51, 1954-11"
246,羽左衛門初恋--羽左と洗髪おつま,村松 梢風,"小説新潮 7(8), 32-46, 1953-06"
247,英文学note-1-初恋,西村 孝次,"あるびよん (10), 53-60, 1952-01"
248,初恋の乙女のごとく--画壇民主化と日本美術会,,"アトリエ (281), 59-60, 1950-06"
249,初恋問答--日本映画批評,登川 直樹,"キネマ旬報 (76), 67-68, 1950-02"
