,Title,Author,Media
34,発掘! 未発表ロングインタビュー 勝新太郎、雷蔵を語る : 市川雷蔵という匂いが見えてくる。 (映画デビュー60周年『雷蔵祭 初恋』 市川雷蔵 : 虚無と一抹の哀愁に、恋する),"勝 新太郎,橋本 光恵 [取材・文]","キネマ旬報 (1679), 24-29, 2015-01"
35,映画デビュー60周年『雷蔵祭 初恋』 市川雷蔵「美」と「素顔」 : 心の波,,"キネマ旬報 (1679), 10-14, 2015-01"
36,剣 : 脚本:舟橋和郎 原作:三島由紀夫 監督:三隅研次(1964年作品) (映画デビュー60周年記念 雷蔵祭 初恋 市川雷蔵主演映画シナリオ特集),舟橋 和郎 [脚本],"シナリオ 70(9), 62-93, 2014-09"
37,斬る : 脚本:新藤兼人 : 原作:柴田錬三郎 監督:三隅研次(1962年作品) (映画デビュー60周年記念 雷蔵祭 初恋 市川雷蔵主演映画シナリオ特集),新藤 兼人 [脚本],"シナリオ 70(9), 42-61, 2014-09"
38,ある殺し屋 : 脚本:増村保造 石松愛弘 原作:藤原審爾「前夜」より 監督:森一生(1967年作品) (映画デビュー60周年記念 雷蔵祭 初恋 市川雷蔵主演映画シナリオ特集),"増村 保造 [脚本],石松 愛弘 [脚本]","シナリオ 70(9), 16-39, 2014-09"
39,上映作品 全46作 (映画デビュー60周年記念 雷蔵祭 初恋 市川雷蔵主演映画シナリオ特集),,"シナリオ 70(9), 10-13,94-97, 2014-09"
40,シナリオ評特別編 『剣』『斬る』『ある殺し屋』 (映画デビュー60周年記念 雷蔵祭 初恋 市川雷蔵主演映画シナリオ特集),モルモット吉田,"シナリオ 70(9), 6-9, 2014-09"
41,中高年ノート(44)初恋の思い出から災害支援まで 「深夜のラジオ」が高齢者を癒やし励ます : 『ラジオ深夜便』や『JET STREAM』など孤独と寂しさを吹き飛ばす番組が,,"Themis 23(8), 94-95, 2014-08"
42,"『百瀬、こっちを向いて。』脚本家インタビュー 狗飼恭子 : 大人になった男が""初恋""から自由になる瞬間を描こうと思った",狗飼 恭子,"シナリオ 70(6), 4-9, 2014-06"
43,韓国と日本のテレビドラマにみる家族関係と父親像 : 『初恋』と『フリーター、家を買う』を手がかりとして,崔 寶允,"比較文化研究 = Studies in comparative culture (111), 141-152, 2014-04-30"
44,"初恋,突風,卒業",島名 毅,"紀要 (44), 171-174, 2014-03-31"
